Country,Cemeteries,Burials
France,1647,531171
Belgium,379,194910
United Kingdom,9348,129870
Iraq,8,51442
Turkey (including Gallipoli),41,36656
India,11,18841
Egypt,20,14851
Israel and Palestine (including Gaza),16,12804
Greece,22,12706
Canada,1759,7340
Germany,19,6462
Tanzania,14,4834
Iran,2,3989
Italy,78,3787
Australia,493,3001
"Ireland, Republic of",510,2592
Nigeria,23,2467
South Africa,172,2177
Malta,10,1936
Kenya,18,1924
New Zealand,304,1739
Sierra Leone,3,1268
"China, (including Hong Kong)",8,1118
Pakistan,2,827
Ghana,5,778
Syria,2,678
Lebanese Republic,2,666
Russian Federation,5,573
Namibia,23,384
United States of America,285,356
Seychelles,2,338
Gibraltar,2,312
Mozambique,8,277
Poland,4,230
Bulgaria,2,212
Jamaica,10,182
Malawi,4,151
Yemen,2,150
Netherlands,17,143
Zambia,2,130
"Macedonia, Republic of",1,118
Somalia (including Somaliland),3,114
Myanmar,3,111
Zimbabwe,12,110
Switzerland,1,88
Romania,3,87
Sri Lanka,6,83
Bermuda,11,81
Norway,14,79
Sudan,1,73
Singapore,3,72
Denmark,15,53
Azerbaijan,1,47
Sweden,2,42
Serbia,3,41
Lesotho,1,40
Belize,1,40
Gambia,1,37
Papua New Guinea,5,34
Latvia,1,32
Tunisia,3,32
Cameroon,3,31
Mauritius,5,30
St. Lucia,1,29
Cyprus,5,29
Falkland Islands,1,21
Spain,6,20
Algeria,8,19
Estonia,2,15
Barbados,8,13
St. Vincent,4,13
Samoa,1,11
Uganda,8,11
St. Helena and Ascension Island,2,11
Guyana,1,11
Brazil,3,11
Trinidad and Tobago,2,7
Austria,1,7
Portugal,2,6
Cape Verde,1,6
Malaysia,3,5
Panama,1,4
Peru,1,4
Chile,4,4
Fiji,1,4
Hungary,3,4
Senegal,1,4
Madeira,1,3
Uruguay,1,3
Bahamas,1,2
Society Islands,1,2
Monaco,1,2
Argentina,2,2
Congo (Democratic Republic),1,2
Oman,2,2
Lithuania,1,2
Botswana,1,1
Grenada,1,1
St. Christopher and Nevis,1,1
Croatia,1,1
Philippines,1,1
Cuba,1,1
Japan,1,1
Guatemala,1,1
Ukraine,1,1
Czech Republic,1,1
Togo,1,1
